tweets,target
"If there is a change in the government at the centre, all the thugs who committed the murder should be arrested and tried in a special court.",1
"I understand there are three people exporting beef from India.
All three of them are B.J.P. are leaders.
Beef ban is a scam to get cheap beef. If that happens, the price of beef will be lower. Huge profit for exporters. That is the secret.
Even in Puranas it is said about eating meat.",1
"A Chief Minister of such a poor quality is no other state in India
There won't be any.",0
Modi + Pinarayi Muslim is nothing OK,1
The Chief Minister is right,1
"The Chief Minister will not fail to do so, the aim is to make the Muslim community a vote bank, so that if he gets the votes of the Muslim community, the aim is to come to power next time.",1
Advocates and legal professionals should clarify CAA for right information of common people,1
"Elected ministers and people's representatives are people who should do good for the country, even if they are not servants of the people, they should sit without interfering.
My vote goes to BJP",1
"Either part of the system or against
Clear message delivered
Be careful full
Issue is highly targeted",1
They will do anything for survival.. Talk to the people.. Listen to the explanation of those who belong to that religion and create strong awareness.. Bring out falsehoods and double standards..,1
Everyone's life is precious that is the standard by which justice is to be done,1
Tributes to the late dyfi...,0
"Yes need to form an association, protest unanimously and take legal measures. So we can challenge with minimum cost from each member.",1
"Sir, it is better to close quickly and make a wooden one, no need decoration",1
WHY U DONT U HAVE INFORM IN PRESS MEETING IN DELHI EXPLAIN IN ENGLISH & HINDI. U R THE OLDEST PARTY 's Sr. most MEMBER. SEEMS TO B A BOLD MAN. UVR EFFORT IS A MUST IF U R REALLY NEED REMEDY INSTEAD OF INFORMING TO KERALITES IN KERALA.,1
"While Narendra Modi is trying to destroy the country, Congress and India Front, here CPM Pinarayi Vijayan is repeatedly adopting the same position, both are two sides of the same coin.",0
"Even though there is estrangement in Kerala, CPM BJP is a good alliance",1
Chances for his third one are nearing. Lucky man.,1
It is Pinara. The rightful ruler will not make him one year old.,1
Of Grid is always better,1
Shouldn't we congratulate the Chief Minister? A single person shows magic by making three and a half crore people believe with his finger. Each niche is strategic and is sure to bring further governance. Solar is just a small ice berg ð¤­ Faith is not everything ð¤£ð¤£ð¤£ð¤£,1
Super information ð,1
Good information,1
"20/20, 100% public service, for the good of the country, good luck.",1
"Thanks Shajan for taking up this issue. But your solution is costly for home owners due to battery storage issue.
However please take the lead role to raise this serious issue live to reach all Solar users till they form an association to fight together.",0
"First, give Kerala what it has to give",1
Center should not take taxes from Kerala,0
Enriching the common people and running for 10 rupees is a good thing but it is a loss for ksrtc.,1
This is a very valid statement.,1
LDF will come and everything will be fine. Vote one more time,1
Emergency era is good,1
Kerala is not a state where the cost is more than the income.. Kerala is a special country. That's what the chief thinks.,1
Is Kerala like that all the time? Kerala was and still is a very low revenue state. Costs will not be reduced. No favors were requested. Kerala's share proposed by the Finance Commission is right.,1
"Central government must implement one law for all states because I did this solar
Installation as per our prime minister
Narendra modiji's green energy policy.",0
@vasunil1 What you said is so true when you think about it,1
Very good information sir,1
"So lucky this old man, enjoys his life to the fullest in spite of all these allegations against him and his family. No agencies or opposition in this part of the world to question him. Lucky old man",1
That's True,1
All this is happiness for Pinarayi devotees.,1
"Everything's gonna be alright... it's gonna be alright...
It will be fine soon...!!",1
The center will intervene in the matter of solar.â¤,0
Great information,1
"Wonderful idea, thanks a lot",1
"True, can't be ruled out",1
Thanks for the timely and detailed information. I am registered and waiting person.,1
"It is certain that the decision will be against the people, because the minister said that it can be decided after the election",1
"Marunadan Malayali channel stands as a beacon of fearless journalism, led by the exemplary integrity of Mr. Scaria. Your unwavering commitment to honest reporting and relentless coverage of scams and dishonesty is commendable. This channel not only informs but empowers its viewers with unbiased, in-depth news coverage, serving as a catalyst for positive change.",1
"What she said is absolutely right.. ð
But the people of Kerala will never understand, and will continue supporting LDF and UDF...",1
"It should also be understood that Modi is not at all bad in what you say. When you mention Pinarayi, if you include Modi in that group, your channel will be a little more fair.",1
Sir good news thnks,1
2.3m people cheated and lied and he went ahead... All the best,1
"This is bit misleading, KSEBL actually produces about 25% of the gross requirements in Kerala and rest it purchases from outside, and this purchase is of flexi rate that changes every 15 minutes. During day time this purchase could be made at the rate of almost 3 rupees per unit. Solar power comes during this time of the day and Rs.2.60 to consumer is reasonable. During night a part is managed by the hydel projects and the rest is met by purchasing power almost at the rate of Rs. 12 per unit. Its an unfair advantage to those who have installed solar. This decision is actually a fair one.",1
Thank you very much for this valuable information. God bless you my dear ð,1
"6:20 In that case KSEB should buy outside electricity mainly during day time and electricity from our hydroelectric projects during peak hours 6pm to 10pm. This can reduce the electricity charges for the consumers. Also promote solar energy and give them at least the price KSEB is paying to outside agencies, there is no transmission loss also",0
"No KSEB on solar till AC
connection 5Kw off grid in full data. in this channel",1
You are absolutely correct,1
"Do not go ongrid. miss Store it in your battery and use it according to your needs. Take care of your battery. Long life, good assurance.",1
This is the number one Kerala we said!! Let's be proud,1
A very informative viedeo. Thank you sir,1
Super super beautiful,1
It's a good decision..Jai... Jai Pinarayi... Jai ... Jai...RSS....,1
Thanks sir .. plan cancel....,1
"Solar panel derived energy can be used for every domestic gadget, in real time, as long as the total energy requirements are met, with the appropriate number of solar panels, a suitable inverter system and nominal battery to handle intermittent brown outs, during the day . EB power is required only after the solar panels stop generating energy.",1
Lavlin pv... Kseb limited liability citu company !!!! All dam and power projects from congress. ..,0
She is right,1
If we forgot to change the battery when we put it and now that is our success will fix everything,1
"@leninsgeorge8323Â  No brother, what I mean is partial load is run by solar. AC/motor etc will still use grid. I have a 450w system with lithium battery. Total cost is 60K. There is reduction of 40% in kseb bill. But the biggest advantage is no power cuts.",0
Exactly right,1
"Yes, make your solar system as 'off grid' and use as much as you can for low power applications such as lights, fans, computer, etc. Use high power devices like heaters, ac, pumps, etc on KSEB electricity.",1
"UP is the best. India is secured 134/150 in the human development index....and UP, Bihar and nearby cowbelts are the bestð®ð®ð®.. nothing to talk more....poor lady.",1
"We have installed roof top solar panels 8 years back. Changed batteries last year.
A small family requires only 2KW or 3KW solar panels costing 2.25 lakhs.
You save current also you save gas too. For us two members, one gas cylinder goes for 6 to 8 months, by using induction stove for cooking.
Currently we never pay at all.
Except during winter we use geyser for hot water and summer we use AC.
When neighbors have no electricity, we have. Reasons be it due to flood or maintenance work.",1
Tax must be paid sir.... ð¥ Nothing of yours belongs to Tanta... India is a great country... ððð,1
Engage a good lawyer of Supreme Court. Don't need to explain about this inability to public. You and Antony are responsible for the present position of INC in India ð¹ðï¸âï¸,1
She is worth more than 1 lakh crores,1
"LDF will come again and fix everyone, enlightened Malayalis will win them over again",1
Manipur is near us. Take care,1
The threat of dismantling the constitution and removing secularism is not small. To be able to walk tall as citizens of India and live with a sense of pride is the thought of getting ink on the index finger.,1
Elephants are better than forest minister.,1
Great if take action strongly. Then my vote to BJP,1
"Excellent presentation, dear Tintu. Keep it up",1
Excellent News We support BJP ð®ð³ and Shoba Surendran,1
U l C C super,1
Everyone should see the real face of the people's government in this election period..! ð,1
Who in our country has social peace ..is more able to maintain.............give it to them........that is CONGRESS,1
"""SOCIAL PEACE AND..DEVELOPMENT .WANT ?? Congress got a place in people's minds..Congress got a place in people's minds.",1
"My vote is for BJP
... The only party in India that is honest without corruption is the only party in India that loves others without hatred. Leaders like K Surendran who is not corrupt of Naya Paisa, words of love only through the language of love PC George so much my vote for BJP ðªðªðªðªððð",1
A great rally is likely. Yesterday's Delhi rally did not happen. Couldn't shake anyone.,1
100% true,1
LDF 3.0 for SURE,1
Spend wisely. General Principle'ððð,1
@SunilKumar-ot4zh âï¸âï¸Is there any other state in India other than Kerala that has this art program once in five years ð¥,0
The center borrows and makes Rama kingdom. Kerala borrows and builds schools â¥ï¸ð¥,0
@sreenivasansbt It was good... People have never been squeezed like this,1
How many schools did BJP build in 10 years? Is there any estimate of how many houses have been given by homeless people so far?,1
Kerala has questions and queries -- gov to answer them all. are liable. In north india there are no questions ...... there are only commands .... if you get education questions will come against the government ........ can it be avoided?,0
Best choice,1
A good decision is to pretend that it was run for 10 rupees.,1
"ðIt's difficult... What a Modi guarantee. Earlier in Kerala, the whole house was waxed with dung, which was a good situation at that time. But today a lot of changes have come.. They are still behind, but the Modi guarantee will exploit those ignorant poor people. Crores are waiting to save even a small part of it. it's hard",0
"Santhosh Kulangara If you see this situation in India, there is no point in praising Modi!
There is no point in saying Madrasa Potan when talking about it!
Like the blanket seller on the footpath, the minister shouted 'There is no point! But this is of no avail. If these poor people are given 100 rupees, they will vote where they say, ""No party, no politics for the poor!",0
"I have seen many poor villages like this in Uttar Pradesh, yet they don't learn",1
If they get education they will think like south indians if it happens modi is just ooooo this dog is building temple and statue instead of school pray when hungry again sit under statues and beg for mental ecstasy take a picnu pose from selfie point,0
"The biggest liar the world has ever seen
Development of Gujarat
He said and exploded
Those who walked with
There is not even a school for writing letters
There is no way for them to learn letters
There is no hut to cross
He deceives the people by telling lies
What kind of things have they deceived the Indian people?
Let them correct the paper for Citizenship Act first. Let them prove their citizenship, that paper is enough for others
Those who made the law must first prove citizenship
Just prove the paper itself to others
He has come to rule the country for 10 years",1
Modi you first fix your country and then say your pay tandi,1
"@Award_winner Don't sit here and judge, go there and tell me how much better Kerala is ok",1
@Award_winner Foreign exchange and exports are mostly what keeps it going.. But you believe that Kerala is rich in everything.,1
"@Award_winnerÂ  working here karnataka isis 3 people ð¤ Kerala's development is the result of foreign exchange. A good number of people in Kerala are working in Gulf countries. There is nothing against it. Kerala has more to develop. It is a densely populated state, but in terms of hunger and basic needs such as housing and toilet, everything is not prioritized.. There is no communalism here. Humans live in love, comfort and harmony with each other. Evaluate other countries too, how difficult is the life of the people there..",1
"Although knowing clearly what the truth is, personally insulting and belittling the LDF government, Chief Minister Comrade Pinarayi and his family, and publicly insulting the LDF government by writing obnoxious words is a form of cruel entertainment for âsomeâ: they feel sympathy and contempt for those who take all the benefits of the LDF government and then accuse them of doing nothing.",0
"It is better for the current rulers that children do not go to school. If they get education, they will understand the truth of Modi's guarantee. By dividing the people on the basis of religion and caste and raising the corporates to the skies, what is the benefit of the poor man with the airport, railway station, port, highway and space observatory?",1
"Guarantee only for those who are pleasing with money ..... what is behind last 3 to 4 weeks projecting or sanctioned crores of money for new projects, all these money from where? All are gimmicks on paper or verbal....",0
Go to Modi's Gujarat and see how many poor people are walking on the road without education. What is the condition of the cut off husband without any education and the roads are covered with dung?,1
A wild hunter who fell to India. The original Joker.,1
"Modi's guarantee of punishment. Indian people are not supposed to live like this. After 75 years, Indian villages are in misery.. Modi should put his photo on life houses in Kerala. But don't post photos in houses in other states. What is it? Because the government has not built any houses for Modi to post photos",1
Moda's gar undi everywhere In Kerala everywhere 56 inches of dung water in houses Gar undi In Gujarat in colonies everything huge wall vote all EVM chayum Moda again in power gar undi.,1
Our Kerala is so beautiful and heaven... this world will never come to an end if these people do not give account.,1
"In Kerala, children of this age are being beaten and broken. How much suffering the poor children are going through at this young age. If the children here start a fight, they will be punished immediately.",0
"Mori's Karandi Mori's Karandi When I hear this, I laugh when I hear this, coming from a country that is struggling with no school and a whole village without even an angan wadi, and coming to this country that is at the forefront of everything in India, I don't know what to say to this.",1
"Development motham malabar il, full super road, bridges",1
We are lucky to be born in Kerala,1
This is true I know about the people who live in North India. I had worked there for 3 years. So many people are suffering without getting proper facilities and education. Don't believe Modi and his words. He will destroy everything.,1
Good overview.,1
We are proud of Kerala.,1
Doesn't the Congress play a major role in making them like this?,1
Live on dung there,1
Propagation of lies. Horrible guarantee.,0
"Kerala is very well literate,therefore BJP won't get votes from Kerala",1
Modi govt. Has turned a blind eye to the rural population,0
"North Indian states can never compare with Kerala and the governments here. Kerala is heaven. Those who have lived in other states know it well. The governments of Kerala are emphasizing on people's welfare. Be it in basic development, education or any other field.",0
We are lucky who stay in Keralam. We don't want any modi such guarantee in Kerala. Shame on BGP,1
If you make BJP win here (Kerala) like in North Indian states only Brahmin's daughter will be educated here also it will be the same. This is Modi's guarantee,1
Good effort kairali news... Main stream news channels doesn't see all these..,1
"Modi's anger, it is the duty of the ruler to help the people, the wealth of India is not yours.",0
The votes of such people are being overthrown by Modi using EVMs. God's false hands!,0
The situation of Hariyana is more pathetic than this.,0
Most women were raped during his rule,1
"Modi ji has seen Kerala ruled by left and right, which has never been ruled by BJP.
When the American grandfather came, the slum beds were covered by a wall in Delhi",1
The villages of Gujarat are even worse,0
15 lakh people got.. I saw that BJP swallowed the black money..ð®,0
The people of Thrissur should see this. It is said that Sureshgopi will make Thrissur like this in the Prime Minister's own country.,1
"If you go to the rural areas of Assam where the BJP has been ruling for ten years, the people are in an even worse condition.",0
You are right,1
The President of India is kept away from many events because of the thought of increasing his power,1
"He who does not guarantee in his own country
Anya has come with a guarantee",1
Don't starve because livestock is plentiful. You can get dung to eat and cow urine to collect as much as you like. Modi's guarantee.,1
That Pahayan's voice became boring,0
"Girls should not study in the state where castes were divided and women were paraded naked
Youths who don't sleep in a good house go to other states to look for jobs, give toilets and get votes, Modi's guarantee",1
"In Gujarat, UP, North India as a whole, no house, no food, ill people starving, no blood and water, people with sunken eyes, no school or hospital, Modi's guaranty, Mannamkatta he says he is Modi's guaranty, big mouth, how can he lie like this, Fascist rule",0
"Modi has no guarantee, it can be said that Modi is a great man who destroyed India",1
Modi's ........... ............... is bad ......,0
Can this regime be brought down from India with such a setup without destroying India?ð¢ð¢ð¢,0
"Only we feel that they are not doing a good job, are they making cake for some people to eat, there is plenty of water so there will be no shortage of drinking water.",1
Modi doesn't need to vote to win,1
Thanks for this ordeal life,1
Guarantee that Kerala too can give this kind of life,1
"If education is not given to the poor here, if given, they will get knowledge, if they get knowledge, they will have intelligence, they will move towards good, it should not be, they should be slaves forever, this is Modiji's guarantee.",1
I feel bad when I say that schools are far away.. and proud to be a Malayali.. there are 5-6 schools within 10 km.,1
"Modi wants to keep it like this, these stupid people. If you say Modi, if you have education, you will be intelligent, no intelligent person will say Modi is Modi, if you say Modi's guarantee, no one will believe it, this is Modi's guarantee.",0
People should at least understand this perungalle.,0
Let the left wing wins..,1
This video's must show in Supreme Court and our villages video also show in Supreme Court Then all can understand the difference between Kerala and other states non development and girls and women's ordeal,0
Without protecting the poor people like this.. People's tax money was taken.. Is there no end to this Patachavane,0
Super guarantee..,1
"We have tax money, if we give 500 out of it, the poor will be left behind.. why.. is there an EVM?
Who will vote for them if they do not give education?",0
Even worse is the avasta of the villager in Gujarat,0
"Modi and his friends continue to warm the people by calling them communal, they don't know anything about Kerala.
Modi's Valandi",1
"The states including Gujarat are the social growth of Kerala. In terms of growth, it will not reach seven levels. ðð¤",1
"Hearing Mongiji's pushing and turning, Kolmayiru was a bit sad",0
It is because there are conscious people in Kerala that the traditionalism of Mudi is not wasted here.,1
Then there is a surprise if the BJP does not win there,0
Call fool's again gika guarantee. Don't you feel any regret to CHEAT these poor they are also like us. God will never forgive people who do this and those who propagate LIES.,0
"You selfish fool FOLLOW this cheating this is bjp
.",0
Poor condition in Indian villages omg ð¤,0
"@Award_winner Even if that's the case, you better believe that Kerala is better than all other states ð",1
@Award_winnerÂ  iam in karnataka foreign exchange and exports bring a lot of progress in development Kerala has more to develop like other states religious polarization and communalism is not there because BJP is not in Kerala today to live a peaceful life is happening only in Kerala today,1
"What is common for Himantha Biswa Sarma, Suvendhu Adhikari, Ashok Chavaan, Digambar Kaamath, Ajith Pawar, Chaggan Bhujbal, Narayan Rane, Praful Patel, Bhavana Gawli, Amareendar Singh and Pema Khandu? ED had filed cases against these leaders when they were not part of BJP/NDA. Now they are part of BJP/NDA and ED is not much interested about the cases filed against these leaders previously.....",0
"Go to a remote village in Kerala and take a video, my friend..!!â @Award_winner",0
General public should focus on per capita income for each person year by year rather than letting politicians get away by dividing you by religion or anything.,1
Hallelujah! Dr. Sashi Tharoor has spoken true fact. Good Fridays and Easter Days may be ignored and dishonored by the few. But the eternal sacrifice and eternal justice that is won by the LORD Jesus Christ for the entire man kind stands respected and honored eternally by all beings. Also the glorious resurrection of the LORD Jesus Christ be magnified and celebrated throughout all eternity. Love You LORD Jesus Christ. Worship You Lord Jesus Christ.,1
Very good and continue.,1
"Shashi Tharoor is honorable. Now it is called communalism because it is not fully fulfilled. If there was anything else to say, on March 31st, while the government office was working, it would have been Manipur, genocide, etc. Shashi Tharoor is a gentleman. All the best sir",1
Naked attack on secularistic credentials! Satyameva jayathe Indian Ethos! Freedom equality fraternity belong to Indian culture! It is wise to uphold the age old tradition of tolerance to sustain freedom equality and fraternity! A true secularist Tharoorji with crores of others object to such murder of secularism! Vote for Tharoor and congress for democracy secularism and constitution peace and harmony etc!!,1
"Shashi Tharoor is the best!
God bless the INC party 
PLEASE SAVE DEMOCRACY & VOTE wisely esp' CHRISTIANS must vote wisely for a SECULAR Govt at the Centre, keeping in mind the CHURCHES burnt in the North esp in UP, persecution & jailing innocent civilians, the horrifying traumatic atrocities happening in Manipur even now.. ..
GOD WILL PUNISH THE LIARS & THE EVIL FORCES WILL BE TRAMPLED UPON!!!
BE ALERT AS EVMS CAN BE MANIPULATED EASILY BY THESE GOONS WHO CAN EASILY TWIST THE VOTES IN THEIR FAVOR!!!
GOD BLESS OUR GREAT NATION....
With the Exposure of the ELECTORAL BONDS DATA, ALL INDIANS KNOW NOW THE LARGEST CORRUPT PARTY IN INDIA .....
",1
"RSS says if you can live by it, live it. If not, go to Gulf or Europe. Jai Shri Ram",1
"Rajeev Chandrasekhar, Suresh Gopi and Anil Anthony are now happy. Don't forget to vote everyone. In Kerala, there is such a law.",1
"We have seen what is happening to Christians and other religions all over the world. Kashmir is calm now. What we want is not a vacation but a peaceful life. In the case of Joseph Mash, we have learned who the Kerala government and the opposition are appeasing.",1
"Hats off to Tharoor ji who came on time, created a stampede and came to win votes",1
All Asia and the whole world are one to the Lord,1
Think if there are Christians showing experience to the BJP. This is the real BJP. They will take away all the rights and all the happiness of the minorities of the country one by one. Because their ideology is ideological.,1
Welcome to Idukkiâ¤,1
"Thanks Broâ¤ Have traveled by bus and boat through the beautiful land of Alappuzha. fantastic. Sea Kuttanad, travel by Wega 2 boat and capture the rural beauty of Kuttanad and make it your home. It will be super.",1
Thank you very much for explaining the history of AC road ðð»,1
"Wonderful you have done a great job, a changanasseri karan from abroad. Lots of love and support.",1
"My friend, you should be thrilled to say that you have raised 1 meter...

This one meter height is nothing in Kuttanad if the seed is thick for 1 hour!!!ð¬

Anyways appreciate your efforts!» Keep doing such informative content!",1
Great dear.,1
The big canal next to the road was created because the soil was taken for the construction of this road. A road traveled many times. â¤,1
Super bro.,1
Thanks you support Pinarai Vijayan and Muhammad riyas.. please do it videos against Nithin gadkari and Narendra Modi. Thank you for supporting LDF government â¤,1
Great pinaray sarkar..salute,1
Trivandrum smart road cheyyane,1
"Who against Nitin Gadkari jiâ¦ impossibleâ¦ He is My man bro..
every Indians loves Nitin ji..
he is the best transport minister ever in our country 
I wish to meet him
I know u kidding ðð",1
"Thank you for this video..
There was a problem traveling on AC road only during rainy season.. It was a good wide road before..

Corrections in place name :
Displaced
Pandarakulam

Once again Thank you ð",1
Good workâ¦.thanks to the company that did this workâ¦.best road connecting alappuzha changanassery districts,1
Great video.. Quality is getting better.. Great clarity.. Keep going,1
"My, sorry our Alappuzha ð",0
Super work ULCC Sâ¤,1
Beautiful visuals thanks hakkeem,1
Nice bro,1
Thanks for considering my consideration LDF,1
Its True...!,1
Very nice thing,1
"Kerala has achieved superiority over developed countries in dealing with Covid. It was noticed and referred to all over the world. Among the special mentions of international agencies.
But, as usual, only the people of Kerala have a misfortune like no other place in the world. A powerful faction in its own country that is capable of defeating its own people! It was by directly defeating that class that Kerala took a step which is seen today and which people like Amartyasen assess to be on par with the developed countries.

It has been almost seven decades since Kerala's 'internal enemies' started this work. Any student who studies the seven decades of modern Kerala from then till now can find them on every side of any effort to bring about social change and upliftment of the grassroots! Naturally, the mainstream media, which started under the ownership of the land grabbers, continues to give them direction and 'made up stories' along with them.",1
Very true,1
A gentleman with proper knowledge about Kerala and the world. A man who is knowledgeable about many countries and recognizes the freedom of people Indians�.,1
The incident is true...,1
Very correct observation God bless,1
Thats true,1
This is the greatest quality a leader should possess. Respect the age and step aside and give the youth a chance. Don't hang the position until you die.,1
"No investment is coming to Kerala, no industry is coming but the people of the state who say they are coming, are coming to work in Kerala, earning money from working in Kerala and sending money to their state, their family is living comfortably there and they are also living comfortably in Kerala.",1
It is a common characteristic of Malayalees,0
"It was not a political speech by the Union Minister but it was exposing the current situation of Kerala, the situation is very pathetic",0
The first reason for the absence of large industries in Kerala is the situation here. Tourism is the most likely source of income in Kerala.,1
"It's not a crime, it's really telling the truth",1
SHE. IS. Right.,1
Yes very true,1
true... absolutely fact..,1
100% correct. Kerala still has a long way to go in this regard.,0
"You are pride of Kerala, Tharoor . You should never stay away from politics, you should be in the field until there are intelligent and talented people like you, that is the wish of every Indian.",1
The point was clearly stated,1
"Niagara
The first SEZ office building of ETTZ, called Niagara, will offer 1 million square feet of leasable office space. A typical floor plate will encompass 85,000 square feet. Niagara has opened its doors in the first quarter of 2024.",1
"Niagra is the name of a building, which had opened up in technopark phase 3. It's a facility in the IT sector and not an industry.
Please don't try to mislead people with such wrong information.

And talking about PRO work, seeing the same reply to every comment under the post, people can very well understand who is the real PRO here.",0
The father's decision is welcome,1
Thanks to my brothers who recognized the scam.,1
"Economically, the Center is showing the injustice to Kerala and the Constitution Bench will take a logical decision after understanding the economic situation of Kerala",1
"Irrespective of the verdict of the Supreme Court, cooperation between the Government of Kerala and the Central Government is essential. It should prioritize the goal of people's welfare over political contests. The central government should take appropriate approaches to the needs and development goals of the states.",1
Keralam exceeding all the limits fixed by financial commission. Other states will also come with same demand if it allows.,0
I feel that this is a new beginning to take an approach that takes into consideration the needs of the state along with maintaining the economic stability of the country.,1
Bishop great .people decision was on fire.,1
Very good decision,1
Muslim brothers are all aware.,1
"""A minister's word is like an old sack""",1
Good presentation,1
Super direction,1
Wow good program,1
Dream come true,1
Keralam Da. We are Rich and Educated.,1
"A leader who knows how to speak..Congress ð Bring up talented people, age does not matter.. Young or aged.",1
"Modi free India
Save India",1
"Better come.

Nothing happened in the end

The deal is guaranteed

Respect BJP workers",1
"If christian community wants to progress and development and to live without any fear of islamist in kerala, then they should vote to BJP, otherwise they decide to live their own destiny!",1
Muraliyeettan the first and last,1
good.. It is not only church leadership.. all religious people should understand,1
"It doesn't matter what the father decides, the whole congregation will make a decision and then there will be a solution",1
"JAY I N D I A SAKHYAM ZINDABAD â¤ Christians, Muslims and true Hindus have intelligenceâ¦.",1
Sometimes it takes time to decide what is right and what is wrong. Now they realize what is right. Everyone in this world is opportunistic.,1
"Even if it is late, this is a good sign that the truth is in your mind",1
I understand that there are people who know the truth in the church.. They know that there will be those who will see your Christian love in this election result.... BJP should remember that not all church leaders are traitors like PC George and Kennedy...,1
"Don't say that, who is against Hindus, how many good Hindu brothers and Christian brothers are living happily among us. Who are we up against? Krasanki. Musangi.",1
Exactly.. RSS wants Christian Muslim free India.,1
What more corruption is this government going to do?😢😢,0
Let there be action in such a way that the children of politicians will not be able to have fun with the same hooliganism 😂😜,0
This will hardly affect LDF in the present election,0
Animals that commit acts of violence against a student and look after it should be subjected to strict action.,0
May Siddharth's soul get justice.,0
All of them should be brought to justice and everything should be set right. There is no need to protect those who killed their golden son. He who eats salt water kudickanam,0
"Biggest scam/robbery in the world is the electoral bonds in India.BJP got Rs 6,986.5 crores frm various Corporates for what?.Exalogic recieved only 1.72crores against AMC thru Bank after tax was paid.",0
Jail this bastard as soon as possible,0
Wow... Will you pick me up and take me to Tihar 😁😁😅😅,0
Who can you stick to?,0
Why is the relationship between BJP and JPU not included in this?,0
